asset_name,asset_type,asset_id,step,threat,tid,stride,description,compromised,precondition,postcondition,protocol,role,propagation_role,origin_type,relation_type
Actuator3,HW.Actuator,32,1,Controller Packet Tampering,T314,"T,E,D","an attacker intercepts, alters, or injects malicious packets sent from the industrial controller (e.g., PLC) to field actuators (such as valves, motors, pumps) within a control network.",self,"[n,n,n]","[n,p,n]",,,,,
Actuator3,HW.Actuator,32,1,Device Restart,T414,"D,T","PLC devices forcibly restarted/shutdown, interrupting water station operation.",self,"[n,n,p]","[n,n,f]",,,,,
Actuator3,HW.Actuator,32,1,Physical Damage,T215,"T,D",Actuators may be physically accessed and forced to operate outside normal parameters.	,self,"[n,n,n]","[n,n,p]",,,,,
Actuator3,HW.Actuator,32,1,Unauthorized Actuation,T115,"T,E","Attacker modifies actuator command signals sent to field devices, enabling unsafe/unintended physical action (e.g. valve flow, pump control).	",self,"[n,n,n]","[p,p,n]",,,,,
Actuator3,HW.Actuator,32,3,Exploitation of Known Vulnerabilities,T208,"T,E","Exploiting software/hardware bugs (e.g., Buffer Overflow) to gain arbitrary code execution on the controller.","self,target(hosts)","[p,p,p]","[f,f,p]",,,target(hosts),HW.PLC,hosts
Actuator3,HW.Actuator,32,3,Firmware Modification,T108,"T,D,E",The malicious modification or replacement of the embedded software within hardware devices.,"self,target(hosts)","[p,p,n]","[p,f,n]",,,target(hosts),HW.PLC,hosts
Actuator3,HW.Actuator,32,3,Loss of device control,T410,"D,R","Attackers may overwrite passwords or clear memory, leaving authorized users unable to manage or recover operational control of the PLC.","self,target(hosts)","[n,n,n]","[p,p,p]",,,target(hosts),HW.PLC,hosts
Actuator3,HW.Actuator,32,3,Main Program Block Removal,T408,D,"Replay deletes Main Object Block, blocks operational logic","self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator3,HW.Actuator,32,3,Manipulating PLC Logic,T308,"S,T","Upload the modified program back to the PLC, leading to malicious code execution","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator3,HW.Actuator,32,3,Misconfiguration,T210,"E,T","Attacker exploits endpoint and protocol weaknesses to compromise the static IP, gain access to PLC configuration via web-server, and alter system settings.	","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator3,HW.Actuator,32,3,Mode Disruption,T310,D,Forced changes to PLC operational mode (RUN/STOP/PROGRAM) may disrupt critical process control.	,"self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator3,HW.Actuator,32,3,Network Ransomware,T317,"T,D,E",The attacker enrypt the data sende by PLC,"self, target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator3,HW.Actuator,32,3,Process Manipulation,T110,"T,E,D","The integrity, availability, or safety of the managed industrial process (e.g., fluid transfer, pump operation) is put at risk by unauthorized or outdated commands carrying false intentions.	","self, target(hosts), source(connects)","[n,n,n]","[n,f,n]",,,target(hosts),HW.PLC,hosts
Actuator4,HW.Actuator,33,1,Controller Packet Tampering,T314,"T,E,D","an attacker intercepts, alters, or injects malicious packets sent from the industrial controller (e.g., PLC) to field actuators (such as valves, motors, pumps) within a control network.",self,"[n,n,n]","[n,p,n]",,,,,
Actuator4,HW.Actuator,33,1,Device Restart,T414,"D,T","PLC devices forcibly restarted/shutdown, interrupting water station operation.",self,"[n,n,p]","[n,n,f]",,,,,
Actuator4,HW.Actuator,33,1,Physical Damage,T215,"T,D",Actuators may be physically accessed and forced to operate outside normal parameters.	,self,"[n,n,n]","[n,n,p]",,,,,
Actuator4,HW.Actuator,33,1,Unauthorized Actuation,T115,"T,E","Attacker modifies actuator command signals sent to field devices, enabling unsafe/unintended physical action (e.g. valve flow, pump control).	",self,"[n,n,n]","[p,p,n]",,,,,
Actuator4,HW.Actuator,33,3,Exploitation of Known Vulnerabilities,T208,"T,E","Exploiting software/hardware bugs (e.g., Buffer Overflow) to gain arbitrary code execution on the controller.","self,target(hosts)","[p,p,p]","[f,f,p]",,,target(hosts),HW.PLC,hosts
Actuator4,HW.Actuator,33,3,Firmware Modification,T108,"T,D,E",The malicious modification or replacement of the embedded software within hardware devices.,"self,target(hosts)","[p,p,n]","[p,f,n]",,,target(hosts),HW.PLC,hosts
Actuator4,HW.Actuator,33,3,Loss of device control,T410,"D,R","Attackers may overwrite passwords or clear memory, leaving authorized users unable to manage or recover operational control of the PLC.","self,target(hosts)","[n,n,n]","[p,p,p]",,,target(hosts),HW.PLC,hosts
Actuator4,HW.Actuator,33,3,Main Program Block Removal,T408,D,"Replay deletes Main Object Block, blocks operational logic","self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator4,HW.Actuator,33,3,Manipulating PLC Logic,T308,"S,T","Upload the modified program back to the PLC, leading to malicious code execution","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator4,HW.Actuator,33,3,Misconfiguration,T210,"E,T","Attacker exploits endpoint and protocol weaknesses to compromise the static IP, gain access to PLC configuration via web-server, and alter system settings.	","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator4,HW.Actuator,33,3,Mode Disruption,T310,D,Forced changes to PLC operational mode (RUN/STOP/PROGRAM) may disrupt critical process control.	,"self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator4,HW.Actuator,33,3,Network Ransomware,T317,"T,D,E",The attacker enrypt the data sende by PLC,"self, target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator4,HW.Actuator,33,3,Process Manipulation,T110,"T,E,D","The integrity, availability, or safety of the managed industrial process (e.g., fluid transfer, pump operation) is put at risk by unauthorized or outdated commands carrying false intentions.	","self, target(hosts), source(connects)","[n,n,n]","[n,f,n]",,,target(hosts),HW.PLC,hosts
Actuator5,HW.Actuator,34,1,Controller Packet Tampering,T314,"T,E,D","an attacker intercepts, alters, or injects malicious packets sent from the industrial controller (e.g., PLC) to field actuators (such as valves, motors, pumps) within a control network.",self,"[n,n,n]","[n,p,n]",,,,,
Actuator5,HW.Actuator,34,1,Device Restart,T414,"D,T","PLC devices forcibly restarted/shutdown, interrupting water station operation.",self,"[n,n,p]","[n,n,f]",,,,,
Actuator5,HW.Actuator,34,1,Physical Damage,T215,"T,D",Actuators may be physically accessed and forced to operate outside normal parameters.	,self,"[n,n,n]","[n,n,p]",,,,,
Actuator5,HW.Actuator,34,1,Unauthorized Actuation,T115,"T,E","Attacker modifies actuator command signals sent to field devices, enabling unsafe/unintended physical action (e.g. valve flow, pump control).	",self,"[n,n,n]","[p,p,n]",,,,,
Actuator5,HW.Actuator,34,3,Exploitation of Known Vulnerabilities,T208,"T,E","Exploiting software/hardware bugs (e.g., Buffer Overflow) to gain arbitrary code execution on the controller.","self,target(hosts)","[p,p,p]","[f,f,p]",,,target(hosts),HW.PLC,hosts
Actuator5,HW.Actuator,34,3,Firmware Modification,T108,"T,D,E",The malicious modification or replacement of the embedded software within hardware devices.,"self,target(hosts)","[p,p,n]","[p,f,n]",,,target(hosts),HW.PLC,hosts
Actuator5,HW.Actuator,34,3,Loss of device control,T410,"D,R","Attackers may overwrite passwords or clear memory, leaving authorized users unable to manage or recover operational control of the PLC.","self,target(hosts)","[n,n,n]","[p,p,p]",,,target(hosts),HW.PLC,hosts
Actuator5,HW.Actuator,34,3,Main Program Block Removal,T408,D,"Replay deletes Main Object Block, blocks operational logic","self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator5,HW.Actuator,34,3,Manipulating PLC Logic,T308,"S,T","Upload the modified program back to the PLC, leading to malicious code execution","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator5,HW.Actuator,34,3,Misconfiguration,T210,"E,T","Attacker exploits endpoint and protocol weaknesses to compromise the static IP, gain access to PLC configuration via web-server, and alter system settings.	","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator5,HW.Actuator,34,3,Mode Disruption,T310,D,Forced changes to PLC operational mode (RUN/STOP/PROGRAM) may disrupt critical process control.	,"self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator5,HW.Actuator,34,3,Network Ransomware,T317,"T,D,E",The attacker enrypt the data sende by PLC,"self, target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator5,HW.Actuator,34,3,Process Manipulation,T110,"T,E,D","The integrity, availability, or safety of the managed industrial process (e.g., fluid transfer, pump operation) is put at risk by unauthorized or outdated commands carrying false intentions.	","self, target(hosts), source(connects)","[n,n,n]","[n,f,n]",,,target(hosts),HW.PLC,hosts
Conveyor1,HW.Actuator,18,1,Controller Packet Tampering,T314,"T,E,D","an attacker intercepts, alters, or injects malicious packets sent from the industrial controller (e.g., PLC) to field actuators (such as valves, motors, pumps) within a control network.",self,"[n,n,n]","[n,p,n]",,,,,
Conveyor1,HW.Actuator,18,1,Device Restart,T414,"D,T","PLC devices forcibly restarted/shutdown, interrupting water station operation.",self,"[n,n,p]","[n,n,f]",,,,,
Conveyor1,HW.Actuator,18,1,Physical Damage,T215,"T,D",Actuators may be physically accessed and forced to operate outside normal parameters.	,self,"[n,n,n]","[n,n,p]",,,,,
Conveyor1,HW.Actuator,18,1,Unauthorized Actuation,T115,"T,E","Attacker modifies actuator command signals sent to field devices, enabling unsafe/unintended physical action (e.g. valve flow, pump control).	",self,"[n,n,n]","[p,p,n]",,,,,
Conveyor1,HW.Actuator,18,3,Excessive Resource Consuption,T374,D,An Adversary is able to enahnce the amount of resources consumed by the SOC.,"self, target(hosts)","[p,p,n]","n,n,p]",,,target(hosts),HW.SOC,hosts
Conveyor2,HW.Actuator,24,1,Controller Packet Tampering,T314,"T,E,D","an attacker intercepts, alters, or injects malicious packets sent from the industrial controller (e.g., PLC) to field actuators (such as valves, motors, pumps) within a control network.",self,"[n,n,n]","[n,p,n]",,,,,
Conveyor2,HW.Actuator,24,1,Device Restart,T414,"D,T","PLC devices forcibly restarted/shutdown, interrupting water station operation.",self,"[n,n,p]","[n,n,f]",,,,,
Conveyor2,HW.Actuator,24,1,Physical Damage,T215,"T,D",Actuators may be physically accessed and forced to operate outside normal parameters.	,self,"[n,n,n]","[n,n,p]",,,,,
Conveyor2,HW.Actuator,24,1,Unauthorized Actuation,T115,"T,E","Attacker modifies actuator command signals sent to field devices, enabling unsafe/unintended physical action (e.g. valve flow, pump control).	",self,"[n,n,n]","[p,p,n]",,,,,
Conveyor2,HW.Actuator,24,3,Excessive Resource Consuption,T374,D,An Adversary is able to enahnce the amount of resources consumed by the SOC.,"self, target(hosts)","[p,p,n]","n,n,p]",,,target(hosts),HW.SOC,hosts
FirmwarePLC,SystemLayer.Firmware,8,1,Backdoor Installation,T332,"T, I","An attacker can insert backdoors into the firmware, allowing them to maintain persistent access to the device and its data.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Boot Process Vulnerabilites,T327,"T, D","A vulnerability in the boot process allows an attacker to execute arbitrary code during system startup, even before security measures like Secure Boot can take effect.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Data Breach,T340,I,"A data breach is an incident in which sensitive, protected or confidential data has potentially been viewed, stolen or used by an individual unauthorised to do so. Data breaches may involve personal health information (PHI), personally identifiable information (PII), trade secrets or intellectual property.","self, target(hosts)","[n,n,n]","[p,n,n]",,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Data Deletion,T336,D,"Deleting data or metadata is an extreme DoS attack but also one that is easily detectable and possibly recoverable given versioning or backups in time or space. If the deleted data is unrecoverable, the cost may range from insignificant to incalculable. Deleting system and network logs is commonly used by attackers to cover their attack traces.","self, target(hosts)","[n,n,n]","[n,p,p]",,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Denial of Service,T331,D,"An attacker can exploit firmware vulnerabilities to launch DoS attacks, disrupting the normal functioning of the device and making it unavailable to legitimate users.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Elevation of privileges,T338,E,An Adversary is able to change its privileges in access to the system services and data,"self, target(hosts)","[n,n,n]","[f,f,n]",,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Firmware Bugs,T325,E,"A bug in the firmware can be exploited by the attacker, who can gain unauthorized access or control over the firmware, bypassing all security measures.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Firmware Data Leakage,T323,"R, I","Through firmware vulnerabilities or intentional backdoors, sensitive data leaks to unauthorized parties, leading to severe privacy and security breaches.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Firmware Downgrade Attacks,T333,"T, R","An attacker can force the firmware to revert to an older, vulnerable version, bypassing security improvements made in later updates.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Firmware Rootkits,T328,"I, D","An attacker embeds a rootkit in the firmware, which hides its presence from traditional security software, making it particularly insidious and hard to detect.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Firmware Tampering,T322,T,"An attacker can inject malicious code, alter existing code, or introduce backdoors into the firmware. This can lead to a range of harmful outcomes, such as disabling security features, gaining persistent access to the device, or even bricking the device, rendering it inoperable.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Malicious Code Injection,T324,"T, E","An attacker can inject malicious code into the firmware, which can persist through system reboots, creating a persistent threat that is hard to detect and remove.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Poisoning,T339,"S,T,D","corruptibility of communication caches and the support data structure, such as routing or naming tables",self,"[n,n,n]","[p,p,p]",,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Privilege Escalation,T330,E,"An attacker can exploit firmware vulnerabilities to gain higher-level permissions, bypassing security controls and gaining full access to the device.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Scanning,T334,I,An advserary is able to undestand your (mostly public) configuration,"self, target(hosts)","[p,p,n]","[n,n,n]",,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Supply Chain Attacks,T329,"T, I","During manufacturing or distribution, an attacker compromises the firmware, leading to widespread vulnerabilities across many devices once they reach end users.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Unauthorized Code Execution,T337,"S,E","An adversary is able to execute codes and/or commands wihtout having an explicit authorization to do this (e.g. code injection, ..)","self, target(hosts)","[n,n,n]","[p,p,n]",,,,,
FirmwarePLC,SystemLayer.Firmware,8,1,Unauthorized Modifications,T326,"T, I","An attacker gains access to the firmware and modifies it to disable key security features, introduce backdoors, or change the behavior of the device in dangerous ways.",self,,,,,,,
FirmwarePLC,SystemLayer.Firmware,8,3,Command Injection,T211,"S,T,E","Injecting malicious commands via insecure SCADA protocols (e.g., Modbus) due to lack of integrity validation.","self, target(uses), source(hosts)","[p,p,n]","[p,f,p]",,,source(hosts),Service.SCADA,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Exploitation of Known Vulnerabilities,T208,"T,E","Exploiting software/hardware bugs (e.g., Buffer Overflow) to gain arbitrary code execution on the controller.","self,target(hosts)","[p,p,p]","[f,f,p]",,,target(hosts),HW.PLC,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Firmware Modification,T108,"T,D,E",The malicious modification or replacement of the embedded software within hardware devices.,"self,target(hosts)","[p,p,n]","[p,f,n]",,,target(hosts),HW.PLC,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Functionality Misuse,T295,"S,T,I",An adversary leverages a legitimate capability of an application in such a way as to achieve a negative technical impact.,"self, source(uses), source(hosts)","[n,n,n]","[p,p,p]",,,source(hosts),Service.Web,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Loss of device control,T410,"D,R","Attackers may overwrite passwords or clear memory, leaving authorized users unable to manage or recover operational control of the PLC.","self,target(hosts)","[n,n,n]","[p,p,p]",,,target(hosts),HW.PLC,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Main Program Block Removal,T408,D,"Replay deletes Main Object Block, blocks operational logic","self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Manipulating PLC Logic,T308,"S,T","Upload the modified program back to the PLC, leading to malicious code execution","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Misconfiguration,T210,"E,T","Attacker exploits endpoint and protocol weaknesses to compromise the static IP, gain access to PLC configuration via web-server, and alter system settings.	","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Mode Disruption,T310,D,Forced changes to PLC operational mode (RUN/STOP/PROGRAM) may disrupt critical process control.	,"self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Network Ransomware,T317,"T,D,E",The attacker enrypt the data sende by PLC,"self, target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Process Manipulation,T110,"T,E,D","The integrity, availability, or safety of the managed industrial process (e.g., fluid transfer, pump operation) is put at risk by unauthorized or outdated commands carrying false intentions.	","self, target(hosts), source(connects)","[n,n,n]","[n,f,n]",,,target(hosts),HW.PLC,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Resource Exhaustion,T289,D,Made (authorized) requests in order to exhaust the thread/process pool of the web server,"source(hosts),self","[n,n,n]","[n,n,p]",,,source(hosts),Service.Web,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,Sensitive Data Exposure,T291,I,"Many web applications and APIs do not properly protect sensitive data, such as financial, healthcare, and PII. Attackers may steal or modify such weakly protected data to conduct credit card fraud, identity theft, or other crimes. Sensitive data may be compromised without extra protection, such as encryption at rest or in transit, and requires special precautions when exchanged with the browser.
","source(hosts),self","[n,n,n]","[p,n,n]",,,source(hosts),Service.Web,hosts
FirmwarePLC,SystemLayer.Firmware,8,3,System Manipulation,T297,"S,E",An adversary is able to apply a change in the confoguration of he Web Server,"self,source(hosts)","[n,n,n]","[f,f,f]",,,source(hosts),Service.Web,hosts
IRSensor1,HW.Sensor,17,1,Faulty/Compromised Sensor,T117,"D,T",Abnormal sensor readings/status values (OPC UA status code anomaly) indicate possible risk for process control	,self,"[n,n,n]","[n,p,p]",,,,,
IRSensor1,HW.Sensor,17,1,Physical Damage,T217,"T,D","Sensors may be physically damaged, manipulated, or tampered with.	",self,"[p,n,n]","[f,n,n]",,,,,
IRSensor1,HW.Sensor,17,3,Excessive Resource Consuption,T374,D,An Adversary is able to enahnce the amount of resources consumed by the SOC.,"self, target(hosts)","[p,p,n]","n,n,p]",,,target(hosts),HW.SOC,hosts
IRSensor2,HW.Sensor,23,1,Faulty/Compromised Sensor,T117,"D,T",Abnormal sensor readings/status values (OPC UA status code anomaly) indicate possible risk for process control	,self,"[n,n,n]","[n,p,p]",,,,,
IRSensor2,HW.Sensor,23,1,Physical Damage,T217,"T,D","Sensors may be physically damaged, manipulated, or tampered with.	",self,"[p,n,n]","[f,n,n]",,,,,
IRSensor2,HW.Sensor,23,3,Excessive Resource Consuption,T374,D,An Adversary is able to enahnce the amount of resources consumed by the SOC.,"self, target(hosts)","[p,p,n]","n,n,p]",,,target(hosts),HW.SOC,hosts
Net,Network,1,1,Communication Lock,T109,D,An attacker can manipualte the Network behavioour in some way,self,"[n,n,n]","[p,p,p]",,,,,
Net,Network,1,1,Eavesdropping,T98,I,An adversary can retrieve valuable data from the transmitted messages that are sent using the asset,self,"[n,n,n]","[p,n,n]
",,,,,
Net,Network,1,1,Message Elimination,T99,D,An adversary can simply intercept and eliminate the packets' content meant for the base station or intermediate nodes coming from the asset,self,"[n,n,n]","[n,p,p]",,,,,
Net,Network,1,1,Message Injection,T102,"S,E","An adversary can send out false data into asset, maybe masquerading as one of the nodes with the objective of corrupting the collected nodes'reading or disrupting the internal control data",self,"[n,n,n]","[n,p,p]",,,,,
Net,Network,1,1,Message Modification,T100,D,An adversary can simply intercept and modify the packets' content meant for the base station or intermediate nodes coming from the asset,self,"[n,n,n]","[n,p,p]",,,,,
Net,Network,1,1,Message Replay,T101,"S,T",An adversary can re-transmit the content of the packets coming from the asset at a later time,self,"[n,n,n]","[n,p,p]",,,,,
Net,Network,1,1,Network Abusive Access,T106,S,An attacker can abusively access (send and receive messages) this network,self,"[n,n,n]","[p,p,n]",,,,,
Net,Network,1,1,Network Partitioning,T103,D,An adversary can make a certain section of the asset inaccessibile by others,"self , target(connects)","[n,n,n]","[n,p,p]",,,,,
Net,Network,1,1,Resource Exhaustion,T107,D,An Adversay is able to denial (at least partially) the network resourcees,self,"[n,n,n]","[n,n,f]",,,,,
Net,Network,1,1,S,T108,S,An attacker sends messages with a spoofed identity,self,"[n,n,n]","[n,p,n]",,,,,
Net,Network,1,1,Selective Forwarding,T104,S,An attacker can forward a packets that traverse a malicious node depending on some criteria,self,"[n,n,n]","[n,p,p]",,,,,
Net,Network,1,1,Topology Disclosure,T105,I,An attacker can exploit forwarding updates between the variuos nodes to know network tolopogy,self,"[n,n,n]","[p,n,n]",,,,,
Net,Network,1,3,Input Manipulation,T209,T,"Attacker cannot modify the logic directly, but knows/control the runtime environment (sensors, firmware, I/O). ","self, source(connects)","[n,n,n]","[p,p,n]",,,source(connects),HW.PLC,connects
Net,Network,1,3,Process Manipulation,T110,"T,E,D","The integrity, availability, or safety of the managed industrial process (e.g., fluid transfer, pump operation) is put at risk by unauthorized or outdated commands carrying false intentions.	","self, target(hosts), source(connects)","[n,n,n]","[n,f,n]",,,source(connects),HW.PLC,connects
